Channel index,Channel reference energy (keV),Channel synthetic energy (keV),Simulated intensity,Detected intensity,E_Net peak 0,P_B (continuum),P_B_pm_avg (continuum)
899,17.5586,17.5586,0,2.47661,0,0.997724,0.878906
900,17.5781,17.5781,0,2.45711,0,0.997762,0.879883
901,17.5977,17.5977,1,2.43888,0,0.9978,0.880859
902,17.6172,17.6172,0,2.41902,0,0.997837,0.881836
903,17.6367,17.6367,0,2.39894,0,0.997874,0.882813
904,17.6563,17.6563,0,2.37861,0,0.997911,0.883789
905,17.6758,17.6758,0,2.35805,0,0.997948,0.884766
906,17.6953,17.6953,0,2.33726,0,0.997984,0.885742
907,17.7148,17.7148,0,2.31627,0,0.99802,0.886719
908,17.7344,17.7344,0,2.2951,0,0.998055,0.887695
909,17.7539,17.7539,0,2.27381,0,0.99809,0.888672
910,17.7734,17.7734,0,2.25242,0,0.998125,0.889648
911,17.793,17.793,0,2.23099,0,0.998159,0.890625
912,17.8125,17.8125,0,2.20956,0,0.998194,0.891602
913,17.832,17.832,0,2.18817,0,0.998227,0.892578
914,17.8516,17.8516,0,2.16689,0,0.998261,0.893555
915,17.8711,17.8711,0,2.14576,0,0.998294,0.894531
916,17.8906,17.8906,0,2.12482,0,0.998327,0.895508
917,17.9102,17.9102,0,2.10413,0,0.998359,0.896484
918,17.9297,17.9297,0,2.08371,0,0.998391,0.897461
919,17.9492,17.9492,0,2.0636,0,0.998423,0.898438
920,17.9688,17.9688,0,2.04381,0,0.998455,0.899414
921,17.9883,17.9883,0,2.02433,0,0.998486,0.900391
922,18.0078,18.0078,0,2.00515,0,0.998517,0.901367
923,18.0273,18.0273,0,1.98624,0,0.998547,0.902344
924,18.0469,18.0469,0,1.96757,0,0.998578,0.90332
925,18.0664,18.0664,0,1.94907,0,0.998608,0.904297
926,18.0859,18.0859,0,1.9307,0,0.998638,0.905273
927,18.1055,18.1055,0,1.9124,0,0.998667,0.90625
928,18.125,18.125,0,1.89411,0,0.998696,0.907227
929,18.1445,18.1445,0,1.87575,0,0.998725,0.908203
930,18.1641,18.1641,0,1.85727,0,0.998754,0.90918
931,18.1836,18.1836,0,1.84003,0,0.998782,0.910156
932,18.2031,18.2031,0,1.8211,0,0.998811,0.911133
933,18.2227,18.2227,0,1.80185,0,0.998839,0.912109
934,18.2422,18.2422,0,1.78225,0,0.998866,0.913086
935,18.2617,18.2617,0,1.76224,0,0.998893,0.914063
936,18.2813,18.2813,1,1.74183,0,0.998921,0.915039
937,18.3008,18.3008,0,1.721,0,0.998947,0.916016
938,18.3203,18.3203,0,1.69978,0,0.998973,0.916992
939,18.3398,18.3398,0,1.6782,0,0.998999,0.917969
940,18.3594,18.3594,0,1.65631,0,0.999025,0.918945
941,18.3789,18.3789,0,1.63417,0,0.99905,0.919922
942,18.3984,18.3984,0,1.61182,0,0.999075,0.920898
943,18.418,18.418,0,1.58934,0,0.9991,0.921875
944,18.4375,18.4375,0,1.56677,0,0.999124,0.922852
945,18.457,18.457,0,1.54418,0,0.999148,0.923828
946,18.4766,18.4766,0,1.52161,0,0.999171,0.924805
947,18.4961,18.4961,0,1.4991,0,0.999194,0.925781
948,18.5156,18.5156,0,1.47669,0,0.999217,0.926758
949,18.5352,18.5352,0,1.45442,0,0.99924,0.927734
950,18.5547,18.5547,0,1.4323,0,0.999262,0.928711
951,18.5742,18.5742,0,1.41035,0,0.999283,0.929688
952,18.5938,18.5938,0,1.3886,0,0.999305,0.930664
953,18.6133,18.6133,0,1.36702,0,0.999326,0.931641
954,18.6328,18.6328,0,1.34563,0,0.999347,0.932617
955,18.6523,18.6523,0,1.32442,0,0.999367,0.933594
956,18.6719,18.6719,0,1.30335,0,0.999387,0.93457
957,18.6914,18.6914,0,1.28243,0,0.999407,0.935547
958,18.7109,18.7109,0,1.26164,0,0.999426,0.936523
959,18.7305,18.7305,0,1.24096,0,0.999445,0.9375
960,18.75,18.75,0,1.22039,0,0.999464,0.938477
961,18.7695,18.7695,0,1.19993,0,0.999483,0.939453
962,18.7891,18.7891,0,1.17959,0,0.999501,0.94043
963,18.8086,18.8086,0,1.15939,0,0.999519,0.941406
964,18.8281,18.8281,0,1.13933,0,0.999537,0.942383
965,18.8477,18.8477,0,1.11944,0,0.999554,0.943359
966,18.8672,18.8672,0,1.09973,0,0.999571,0.944336
967,18.8867,18.8867,0,1.08021,0,0.999587,0.945313
968,18.9063,18.9063,0,1.06089,0,0.999604,0.946289
969,18.9258,18.9258,0,1.04177,0,0.99962,0.947266
970,18.9453,18.9453,0,1.02283,0,0.999635,0.948242
