Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
87.4775, 26.9646, 0, 26.9646
87.4825, 26.9613, 0, 26.9613
87.4875, 26.958, 0, 26.958
87.4925, 26.9548, 0, 26.9548
87.4975, 26.9515, 0, 26.9515
87.5025, 26.9483, 0, 26.9483
87.5075, 26.945, 0, 26.945
87.5125, 26.9417, 0, 26.9417
87.5175, 26.9385, 0, 26.9385
87.5225, 26.9352, 0, 26.9352
87.5275, 26.9319, 0, 26.9319
87.5325, 26.9287, 0, 26.9287
87.5375, 26.9254, 0, 26.9254
87.5425, 26.9222, 0, 26.9222
87.5475, 26.9189, 0, 26.9189
87.5525, 26.9157, 0, 26.9157
87.5575, 26.9124, 0, 26.9124
87.5625, 26.9092, 0, 26.9092
87.5675, 26.9059, 0, 26.9059
87.5725, 26.9027, 0, 26.9027
87.5775, 26.8994, 0, 26.8994
87.5825, 26.8962, 0, 26.8962
87.5875, 26.8929, 0, 26.8929
87.5925, 26.8897, 0, 26.8897
87.5975, 26.8864, 0, 26.8864
87.6025, 26.8832, 0, 26.8832
87.6075, 26.8799, 0, 26.8799
87.6125, 26.8767, 0, 26.8767
87.6175, 26.8734, 0, 26.8734
87.6225, 26.8702, 0, 26.8702
87.6275, 26.8669, 0, 26.8669
87.6325, 26.8637, 0, 26.8637
87.6375, 26.8605, 0, 26.8605
87.6425, 26.8572, 0, 26.8572
87.6475, 26.854, 0, 26.854
87.6525, 26.8507, 0, 26.8507
87.6575, 26.8475, 0, 26.8475
87.6625, 26.8443, 0, 26.8443
87.6675, 26.841, 0, 26.841
87.6725, 26.8378, 0, 26.8378
87.6775, 26.8345, 0, 26.8345
87.6825, 26.8313, 0, 26.8313
87.6875, 26.8281, 0, 26.8281
87.6925, 26.8248, 0, 26.8248
87.6975, 26.8216, 0, 26.8216
87.7025, 26.8184, 0, 26.8184
87.7075, 26.8151, 0, 26.8151
87.7125, 26.8119, 0, 26.8119
87.7175, 26.8087, 0, 26.8087
87.7225, 26.8054, 0, 26.8054
87.7275, 26.8022, 0, 26.8022
87.7325, 26.799, 0, 26.799
87.7375, 26.7957, 0, 26.7957
87.7425, 26.7925, 0, 26.7925
87.7475, 26.7893, 0, 26.7893
87.7525, 26.786, 0, 26.786
87.7575, 26.7828, 0, 26.7828
87.7625, 26.7796, 0, 26.7796
87.7675, 26.7763, 0, 26.7763
87.7725, 26.7731, 0, 26.7731
87.7775, 26.7699, 0, 26.7699
87.7825, 26.7695, 0, 26.7695
87.7875, 26.7663, 0, 26.7663
87.7925, 26.763, 0, 26.763
87.7975, 26.7598, 0, 26.7598
87.8025, 26.7566, 0, 26.7566
87.8075, 26.7534, 0, 26.7534
87.8125, 26.7501, 0, 26.7501
87.8175, 26.7469, 0, 26.7469
87.8225, 26.7437, 0, 26.7437
87.8275, 26.7405, 0, 26.7405
87.8325, 26.7372, 0, 26.7372
87.8375, 26.734, 0, 26.734
87.8425, 26.7308, 0, 26.7308
87.8475, 26.7276, 0, 26.7276
87.8525, 26.7243, 0, 26.7243
87.8575, 26.7211, 0, 26.7211
87.8625, 26.7179, 0, 26.7179
87.8675, 26.7147, 0, 26.7147
87.8725, 26.7114, 0, 26.7114
87.8775, 26.7082, 0, 26.7082
87.8825, 26.705, 0, 26.705
87.8875, 26.7018, 0, 26.7018
87.8925, 26.6986, 0, 26.6986
87.8975, 26.6953, 0, 26.6953
87.9025, 26.6921, 0, 26.6921
87.9075, 26.6889, 0, 26.6889
87.9125, 26.6857, 0, 26.6857
87.9175, 26.6825, 0, 26.6825
87.9225, 26.6792, 0, 26.6792
87.9275, 26.676, 0, 26.676
87.9325, 26.6728, 0, 26.6728
87.9375, 26.6696, 0, 26.6696
87.9425, 26.6664, 0, 26.6664
87.9475, 26.6631, 0, 26.6631
87.9525, 26.6599, 0, 26.6599
87.9575, 26.6567, 0, 26.6567
87.9625, 26.6535, 0, 26.6535
87.9675, 26.6503, 0, 26.6503
87.9725, 26.6471, 0, 26.6471
87.9775, 26.6438, 0, 26.6438
87.9825, 26.6406, 0, 26.6406
87.9875, 26.6374, 0, 26.6374
87.9925, 26.6369, 0, 26.6369
87.9975, 26.6337, 0, 26.6337
88.0025, 26.6305, 0, 26.6305
88.0075, 26.6273, 0, 26.6273
88.0125, 26.6241, 0, 26.6241
88.0175, 26.6209, 0, 26.6209
88.0225, 26.6176, 0, 26.6176
88.0275, 26.6144, 0, 26.6144
88.0325, 26.6112, 0, 26.6112
88.0375, 26.608, 0, 26.608
88.0425, 26.6048, 0, 26.6048
88.0475, 26.6016, 0, 26.6016
88.0525, 26.5984, 0, 26.5984
88.0575, 26.5952, 0, 26.5952
88.0625, 26.592, 0, 26.592
88.0675, 26.5887, 0, 26.5887
88.0725, 26.5855, 0, 26.5855
88.0775, 26.5823, 0, 26.5823
88.0825, 26.5791, 0, 26.5791
88.0875, 26.5759, 0, 26.5759
88.0925, 26.5727, 0, 26.5727
88.0975, 26.5695, 0, 26.5695
88.1025, 26.5663, 0, 26.5663
88.1075, 26.5631, 0, 26.5631
