Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
9.0725, 2.0677, 0, 2.0677
9.0775, 2.06618, 0, 2.06618
9.0825, 2.06466, 0, 2.06466
9.0875, 2.06315, 0, 2.06315
9.0925, 2.06163, 0, 2.06163
9.0975, 2.06011, 0, 2.06011
9.1025, 2.0586, 0, 2.0586
9.1075, 2.05708, 0, 2.05708
9.1125, 2.05557, 0, 2.05557
9.1175, 2.05405, 0, 2.05405
9.1225, 2.05253, 0, 2.05253
9.1275, 2.05102, 0, 2.05102
9.1325, 2.0495, 0, 2.0495
9.1375, 2.04798, 0, 2.04798
9.1425, 2.04651, 0, 2.04651
9.1475, 2.04509, 0, 2.04509
9.1525, 2.04368, 0, 2.04368
9.1575, 2.04227, 0, 2.04227
9.1625, 2.04086, 0, 2.04086
9.1675, 2.03944, 0, 2.03944
9.1725, 2.03803, 0, 2.03803
9.1775, 2.03662, 0, 2.03662
9.1825, 2.0352, 0, 2.0352
9.1875, 2.03379, 0, 2.03379
9.1925, 2.03238, 0, 2.03238
9.1975, 2.03097, 0, 2.03097
9.2025, 2.02955, 0, 2.02955
9.2075, 2.02814, 0, 2.02814
9.2125, 2.02673, 0, 2.02673
9.2175, 2.02531, 0, 2.02531
9.2225, 2.0239, 0, 2.0239
9.2275, 2.02249, 0, 2.02249
9.2325, 2.02108, 0, 2.02108
9.2375, 2.01966, 0, 2.01966
9.2425, 2.01825, 0, 2.01825
9.2475, 2.01684, 0, 2.01684
9.2525, 2.01542, 0, 2.01542
9.2575, 2.01401, 0, 2.01401
9.2625, 2.0126, 0, 2.0126
9.2675, 2.01119, 0, 2.01119
9.2725, 2.00977, 0, 2.00977
9.2775, 2.00836, 0, 2.00836
9.2825, 2.00695, 0, 2.00695
9.2875, 2.00553, 0, 2.00553
9.2925, 2.00412, 0, 2.00412
9.2975, 2.00272, 0, 2.00272
9.3025, 2.00141, 0, 2.00141
9.3075, 2.00009, 0, 2.00009
9.3125, 1.99878, 0, 1.99878
9.3175, 1.99746, 0, 1.99746
9.3225, 1.99615, 0, 1.99615
9.3275, 1.99483, 0, 1.99483
9.3325, 1.99352, 0, 1.99352
9.3375, 1.9922, 0, 1.9922
9.3425, 1.99089, 0, 1.99089
9.3475, 1.98957, 0, 1.98957
9.3525, 1.98826, 0, 1.98826
9.3575, 1.98694, 0, 1.98694
9.3625, 1.98563, 0, 1.98563
9.3675, 1.98431, 0, 1.98431
9.3725, 1.983, 0, 1.983
9.3775, 1.98168, 0, 1.98168
9.3825, 1.98037, 0, 1.98037
9.3875, 1.97905, 0, 1.97905
9.3925, 1.97774, 0, 1.97774
9.3975, 1.97642, 0, 1.97642
9.4025, 1.97511, 0, 1.97511
9.4075, 1.97379, 0, 1.97379
9.4125, 1.97248, 0, 1.97248
9.4175, 1.97116, 0, 1.97116
9.4225, 1.96985, 0, 1.96985
9.4275, 1.96853, 0, 1.96853
9.4325, 1.96722, 0, 1.96722
9.4375, 1.9659, 0, 1.9659
9.4425, 1.96459, 0, 1.96459
9.4475, 1.96327, 0, 1.96327
9.4525, 1.96196, 0, 1.96196
9.4575, 1.96072, 0, 1.96072
9.4625, 1.9595, 0, 1.9595
9.4675, 1.95827, 0, 1.95827
