X (nm), Y (nm), Z (nm), Corrected X (nm), Corrected Y (nm), Corrected Z (nm), E (keV), DeltaE (keV), Theta (rad), Corrected Theta (rad), Phi (rad), Corrected Phi (rad)
-0.730415, 2.21098, 0, -0.730415, 2.21098, 0, 0.81655, 0.18345, 2.02884, 2.02884, 1.91775, 1.91775
2.75009, -1.63632, 0, 2.75009, -1.63632, 0, 0.69397, 0.30603, 2.40309, 2.40309, 5.52677, 5.52677
1.99534, -0.765242, 0, 1.99534, -0.765242, 0, 0.692427, 0.307573, 1.61965, 1.61965, 2.73443, 2.73443
1.57985, -2.08399, 0, 1.57985, -2.08399, 0, 0.758421, 0.241579, 2.43173, 2.43173, 5.89034, 5.89034
0.944211, -0.781866, 0, 0.944211, -0.781866, 0, 0.809114, 0.190886, 2.3623, 2.3623, 4.94435, 4.94435
0.414599, -3.05207, 0, 0.414599, -3.05207, 0, 0.774382, 0.225618, 2.59311, 2.59311, 5.14901, 5.14901
0.195659, 1.78288, 0, 0.195659, 1.78288, 0, 0.859403, 0.140597, 2.06638, 2.06638, 1.79723, 1.79723
0.711102, -1.65013, 0, 0.711102, -1.65013, 0, 0.751238, 0.248762, 2.20142, 2.20142, 4.68373, 4.68373
-1.39723, 0.0270523, 0, -1.39723, 0.0270523, 0, 0.884392, 0.115608, 2.00027, 2.00027, 0.425313, 0.425313
2.84917, -1.14864, 0, 2.84917, -1.14864, 0, 0.676822, 0.323178, 2.36995, 2.36995, 5.67838, 5.67838
1.15236, 1.77941, 0, 1.15236, 1.77941, 0, 0.824772, 0.175228, 2.72342, 2.72342, 4.42231, 4.42231
-1.49065, 1.37308, 0, -1.49065, 1.37308, 0, 0.88848, 0.11152, 2.53818, 2.53818, 2.75104, 2.75104
1.87353, 0.247404, 0, 1.87353, 0.247404, 0, 0.846592, 0.153408, 2.11774, 2.11774, 0.621435, 0.621435
-5.76566, 0.914611, 0, -5.76566, 0.914611, 0, 0.176333, 0.823667, 3.03047, 3.03047, 4.2729, 4.2729
