Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
35, 3, -2.03968e-008, -2.09726e-008, 51, 9.9505, 0, 3
36, 3, 5.72129e-009, 1.23724e-009, 0, 10, 0, 1
36, 3, 5.72129e-009, 1.23724e-009, 16.8471, 9.98332, 0, 5
36, 3, -0.92779, 1.38482, 27.6219, 9.97251, 0, 5
36, 3, -2.01128, 4.68688, 50, 9.95004, 0, 2
36, 3, -2.05912, 4.83269, 50.9882, 9.95004, 0, 3
37, 3, -5.41063e-008, -1.46037e-008, 0, 10, 0, 1
37, 3, -5.41063e-008, -1.46037e-008, 32.1379, 9.96818, 0, 5
37, 3, 0.174435, -0.734744, 45.6187, 9.95478, 0, 5
37, 3, 0.398908, -1.01472, 50, 9.95041, 0, 2
37, 3, 0.449972, -1.07841, 50.9967, 9.95041, 0, 3
38, 3, -2.03345e-008, -6.1654e-008, 0, 10, 0, 1
38, 3, -2.03345e-008, -6.1654e-008, 37.859, 9.96252, 0, 5
38, 3, 0.249647, 0.563654, 50, 9.95045, 0, 2
38, 3, 0.270183, 0.61002, 50.9987, 9.95045, 0, 3
39, 3, 4.89995e-008, 3.3774e-008, 0, 10, 0, 1
39, 3, 4.89995e-008, 3.3774e-008, 25.3386, 9.97491, 0, 5
39, 3, -0.584875, -2.27213, 49.4827, 9.95085, 0, 5
39, 3, -0.57338, -2.32162, 50, 9.95033, 0, 2
39, 3, -0.551265, -2.41682, 50.9952, 9.95033, 0, 3
40, 3, -6.58872e-008, -5.42398e-008, 0, 10, 0, 1
40, 3, -6.58872e-008, -5.42398e-008, 12.2348, 9.98789, 0, 5
40, 3, -0.291248, -0.36832, 24.3089, 9.97591, 0, 5
40, 3, -0.366796, -0.692832, 30.0826, 9.97018, 0, 5
40, 3, 0.178079, -1.06347, 50, 9.9504, 0, 2
40, 3, 0.205421, -1.08207, 50.9995, 9.9504, 0, 3
41, 3, -5.19935e-008, 3.7171e-008, 0, 10, 0, 1
41, 3, -5.19935e-008, 3.7171e-008, 9.45529, 9.99064, 0, 5
41, 3, -0.125331, -0.0469247, 11.8048, 9.98831, 0, 5
41, 3, -0.125551, -0.0316364, 12.0963, 9.98802, 0, 5
41, 3, 0.753355, 1.14139, 28.633, 9.97157, 0, 5
41, 3, 0.774138, 1.33796, 30.5077, 9.9697, 0, 5
41, 3, 0.877615, 3.59644, 50, 9.95022, 0, 2
41, 3, 0.882888, 3.71153, 50.9933, 9.95022, 0, 3
42, 3, -4.83452e-008, -4.61785e-008, 0, 10, 0, 1
42, 3, -4.83452e-008, -4.61785e-008, 4.3267, 9.99572, 0, 5
42, 3, 3.65414, -0.755565, 50, 9.95033, 0, 2
42, 3, 3.73388, -0.772053, 50.9967, 9.95033, 0, 3
43, 3, 1.67249e-008, -5.48072e-008, 0, 10, 0, 1
43, 3, 1.67249e-008, -5.48072e-008, 50, 9.9505, 0, 2
43, 3, 1.67249e-008, -5.48072e-008, 51, 9.9505, 0, 3
44, 3, -2.64468e-008, -4.14094e-009, 0, 10, 0, 1
